Location Name,Scanned,Occupied,Expected Barcodes,Detected Barcodes,Comparison Result
ZA001A,true,true,DX9850004338,DX9850004338,The location was occupied by the expected items
ZA002A,true,true,DX9850004338,DX9850004338,The location was occupied by the expected items
ZA003A,true,false,,"","The location was empty, as expected"
ZA004A,true,true,DX9850004348,DX9850004348,The location was occupied by the expected items
ZA005A,true,false,,"","The location was empty, as expected"
ZA006A,true,false,,"","The location was empty, as expected"
ZA007A,true,false,,"","The location was empty, as expected"
ZA008A,true,false,,"","The location was empty, as expected"
ZA009A,true,false,,"","The location was empty, as expected"
ZA010A,true,false,,"","The location was empty, as expected"
ZA011A,true,false,,"","The location was empty, as expected"
ZA012A,true,false,,"","The location was empty, as expected"
ZA013A,true,false,,"","The location was empty, as expected"
ZA014A,true,true,DX9850000498,DX9850000498,The location was occupied by the expected items
ZA015A,true,false,,"","The location was empty, as expected"
ZA016A,true,false,,"","The location was empty, as expected"
ZA017A,true,true,DX9850000160,DX9850000160,The location was occupied by the expected items
ZA018A,true,false,,"","The location was empty, as expected"
ZA019A,true,true,DX9850000123,DX9850000123,The location was occupied by the expected items
ZA020A,true,false,,"","The location was empty, as expected"
ZA021A,true,false,,"","The location was empty, as expected"
ZA022A,true,false,,"","The location was empty, as expected"
ZA023A,true,false,,"","The location was empty, as expected"
ZA024A,true,false,,"","The location was empty, as expected"
ZA025A,true,false,,"","The location was empty, as expected"
ZA026A,true,true,DX9850005448,DX9850005448,The location was occupied by the expected items
ZA027A,true,false,,"","The location was empty, as expected"
ZA028A,true,true,DX9850000623,DX9850000623,The location was occupied by the expected items
ZA029A,true,true,DX9850000622,DX9850000622,The location was occupied by the expected items
ZA030A,true,false,,"","The location was empty, as expected"
ZA031A,true,true,DX9850000510,DX9850000510,The location was occupied by the expected items
ZA032A,true,false,,"","The location was empty, as expected"
ZA033A,true,true,DX9811261966,DX9811261966,The location was occupied by the expected items
ZA034A,true,false,,"","The location was empty, as expected"
ZA035A,true,false,,"","The location was empty, as expected"
ZA036A,true,false,,"","The location was empty, as expected"
ZA037A,true,true,DX9850000624,DX9850000624,The location was occupied by the expected items
ZA001B,true,false,,"","The location was empty, as expected"
ZA002B,true,false,,"","The location was empty, as expected"
ZA003B,true,false,,"","The location was empty, as expected"
ZA004B,true,false,,"","The location was empty, as expected"
ZA005B,true,false,,"","The location was empty, as expected"
ZA006B,true,false,,"","The location was empty, as expected"
ZA007B,true,false,,"","The location was empty, as expected"
ZA008B,true,false,,"","The location was empty, as expected"
ZA009B,true,false,,"","The location was empty, as expected"
ZA010B,true,false,,"","The location was empty, as expected"
ZA011B,true,false,,"","The location was empty, as expected"
ZA012B,true,false,,"","The location was empty, as expected"
ZA013B,true,false,,"","The location was empty, as expected"
ZA014B,true,false,,"","The location was empty, as expected"
ZA015B,true,false,,"","The location was empty, as expected"
ZA016B,true,false,,"","The location was empty, as expected"
ZA017B,true,false,,"","The location was empty, as expected"
ZA018B,true,false,,"","The location was empty, as expected"
ZA019B,true,false,,"","The location was empty, as expected"
ZA020B,true,false,,"","The location was empty, as expected"
ZA021B,true,false,,"","The location was empty, as expected"
ZA022B,true,false,,"","The location was empty, as expected"
ZA023B,true,false,,"","The location was empty, as expected"
ZA024B,true,false,,"","The location was empty, as expected"
ZA025B,true,false,,"","The location was empty, as expected"
ZA026B,true,false,,"","The location was empty, as expected"
ZA027B,true,false,,"","The location was empty, as expected"
ZA028B,true,false,,"","The location was empty, as expected"
ZA029B,true,false,,"","The location was empty, as expected"
ZA030B,true,false,,"","The location was empty, as expected"
ZA031B,true,false,,"","The location was empty, as expected"
ZA032B,true,false,,"","The location was empty, as expected"
ZA033B,true,false,,"","The location was empty, as expected"
ZA034B,true,false,,"","The location was empty, as expected"
ZA035B,true,false,,"","The location was empty, as expected"
ZA036B,true,false,,"","The location was empty, as expected"
ZA037B,true,false,,"","The location was empty, as expected"
